title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
mbImpute: an accurate and robust imputation method for microbiome data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02400-4,2021,False,False,False
The dynamics of ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02410-2,2021,False,False,False
Regulatory regions in natural transposable element insertions drive interindividual differences in response to immune challenges in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02471-3,2021,True,False,False
Coordinated changes in gene expression kinetics underlie both mouse and human erythroid maturation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02414-y,2021,False,False,True
A trans locus causes a ribosomopathy in hypertrophic hearts that affects mRNA translation in a protein length-dependent fashion,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02397-w,2021,True,False,False
Elevated retrotransposon activity and genomic instability in primed pluripotent stem cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02417-9,2021,False,False,False
"Integration of metabolomics, genomics, and immune phenotypes reveals the causal roles of metabolites in disease",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02413-z,2021,False,True,False
Telomere-to-telomere assembly of a fish Y chromosome reveals the origin of a young sex chromosome pair,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02430-y,2021,False,False,False
scSNV: accurate dscRNA-seq SNV co-expression analysis using duplicate tag collapsing,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02364-5,2021,False,False,False
Genetic and environmental modulation of transposition shapes the evolutionary potential of ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02348-5,2021,False,True,False
HDAC4 degradation during senescence unleashes an epigenetic program driven by AP-1/p300 at selected enhancers and super-enhancers,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02340-z,2021,False,False,False
Multi-omic profiling of lung and liver tumor microenvironments of metastatic pancreatic cancer reveals site-specific immune regulatory pathways,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02363-6,2021,True,False,False
A systematic dissection of the epigenomic heterogeneity of lung adenocarcinoma reveals two different subclasses with distinct prognosis and core regulatory networks,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02376-1,2021,True,False,False
Characterization of structural variation in Tibetans reveals new evidence of high-altitude adaptation and introgression,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02382-3,2021,False,True,False
N,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02385-0,2021,False,False,False
Annotation of snoRNA abundance across human tissues reveals complex snoRNA-host gene relationships,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02391-2,2021,True,False,False
Highly recurrent ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02375-2,2021,False,False,False
Impacts of allopolyploidization and structural variation on intraspecific diversification in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02383-2,2021,False,False,False
Meta-analysis of genome-wide DNA methylation identifies shared associations across neurodegenerative disorders,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02275-5,2021,False,True,False
"Dynamics of alternative splicing during somatic cell reprogramming reveals functions for RNA-binding proteins CPSF3, hnRNP UL1, and TIA1",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02372-5,2021,False,False,False
Comparative regulomics supports pervasive selection on gene dosage following whole genome duplication,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02323-0,2021,False,False,False
Identification of X-chromosomal genes that drive sex differences in embryonic stem cells through a hierarchical CRISPR screening approach,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02321-2,2021,True,False,False
Minimal genome-wide human CRISPR-Cas9 library,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02268-4,2021,True,False,False
MicroExonator enables systematic discovery and quantification of microexons across mouse embryonic development,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02246-2,2021,False,False,False
Long-read transcriptome sequencing reveals abundant promoter diversity in distinct molecular subtypes of gastric cancer,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02261-x,2021,False,False,False
SuperTAD: robust detection of hierarchical topologically associated domains with optimized structural information,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02234-6,2021,True,False,False
STARRPeaker: uniform processing and accurate identification of STARR-seq active regions,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02194-x,2020,True,True,False
Determinants of ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02209-7,2020,True,False,False
Convergent network effects along the axis of gene expression during prostate cancer progression,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02188-9,2020,False,False,False
Functional and genetic markers of niche partitioning among enigmatic members of the human oral microbiome,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02195-w,2020,False,False,False
A comprehensive enhancer screen identifies TRAM2 as a key and novel mediator of YAP oncogenesis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02272-8,2021,True,True,False
Genome-wide association study implicates novel loci and reveals candidate effector genes for longitudinal pediatric bone accrual,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02207-9,2021,False,True,False
Integrated genomic and transcriptomic analysis reveals unique characteristics of hepatic metastases and pro-metastatic role of complement C1q in pancreatic ductal adenocarcinoma,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02222-w,2021,False,False,False
Histone modifications during the life cycle of the brown alga ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02216-8,2021,False,False,False
Genome structure variation analyses of peach reveal population dynamics and a 1.67 Mb causal inversion for fruit shape,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02239-1,2021,False,True,False
Comprehensive integrative profiling of upper tract urothelial carcinomas,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02230-w,2021,False,False,False
Disome-seq reveals widespread ribosome collisions that promote cotranslational protein folding,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02256-0,2021,False,False,False
A vast resource of allelic expression data spanning human tissues,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02122-z,2020,True,False,False
Chromatin regulates expression of small RNAs to help maintain transposon methylome homeostasis in Arabidopsis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02163-4,2020,False,False,False
An integrated multi-omics approach to identify regulatory mechanisms in cancer metastatic processes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02213-x,2021,False,True,False
Tissue-specific usage of transposable element-derived promoters in mouse development,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02164-3,2020,False,False,False
A genome assembly and the somatic genetic and epigenetic mutation rate in a wild long-lived perennial ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02162-5,2020,True,False,False
AlphaBeta: computational inference of epimutation rates and spectra from high-throughput DNA methylation data in plants,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02161-6,2020,False,False,False
Integrative analyses of single-cell transcriptome and regulome using MAESTRO,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02116-x,2020,False,False,False
An evolutionary driver of interspersed segmental duplications in primates,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02074-4,2020,False,True,False
The RNA-binding protein SERBP1 functions as a novel oncogenic factor in glioblastoma by bridging cancer metabolism and epigenetic regulation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02115-y,2020,True,True,False
3DeFDR: statistical methods for identifying cell type-specific looping interactions in 5C and Hi-C data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02061-9,2020,True,False,False
Genome-wide identification of genes regulating DNA methylation using genetic anchors for causal inference,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02114-z,2020,True,True,False
Improved reference genome of the arboviral vector ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02141-w,2020,False,False,False
Removal of H2Aub1 by ubiquitin-specific proteases 12 and 13 is required for stable Polycomb-mediated gene repression in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02062-8,2020,False,True,False
"A novel antiviral lncRNA, EDAL, shields a T309 ",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02150-9,2020,False,False,False
KAML: improving genomic prediction accuracy of complex traits using machine learning determined parameters,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02052-w,2020,False,False,False
Repeat-induced point mutation in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02060-w,2020,False,False,False
Identification of cell type-specific methylation signals in bulk whole genome bisulfite sequencing data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02065-5,2020,False,False,False
Allele-specific DNA methylation is increased in cancers and its dense mapping in normal plus neoplastic cells increases the yield of disease-associated regulatory SNPs,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02059-3,2020,True,True,False
Influenza infection elicits an expansion of gut population of endogenous ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02007-1,2020,True,False,False
Genome-wide studies reveal the essential and opposite roles of ARID1A in controlling human cardiogenesis and neurogenesis from pluripotent stem cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02082-4,2020,True,False,False
Sampling time-dependent artifacts in single-cell genomics studies,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02032-0,2020,False,False,False
tappAS: a comprehensive computational framework for the analysis of the functional impact of differential splicing,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02028-w,2020,True,False,False
Carnelian uncovers hidden functional patterns across diverse study populations from whole metagenome sequencing reads,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1933-7,2020,True,False,False
APEC: an accesson-based method for single-cell chromatin accessibility analysis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02034-y,2020,False,False,False
Allosteric inhibition of CRISPR-Cas9 by bacteriophage-derived peptides,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-01956-x,2020,False,False,False
A rare codon-based translational program of cell proliferation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1943-5,2020,True,False,False
Regenerating zebrafish fin epigenome is characterized by stable lineage-specific DNA methylation and dynamic chromatin accessibility,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1948-0,2020,False,False,False
